AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,139
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,481
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,286
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",40
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Health,59
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Education,29
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,304
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,155
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,53
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",147
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,26
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,64
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,1627
Total,Male,Hume,Tertiary - University or other higher education,Natural and Physical Sciences,174
Total,Male,Hume,Tertiary - University or other higher education,Information Technology,209
Total,Male,Hume,Tertiary - University or other higher education,Engineering and Related Technologies,336
Total,Male,Hume,Tertiary - University or other higher education,Architecture and Building,91
Total,Male,Hume,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",22
Total,Male,Hume,Tertiary - University or other higher education,Health,147
Total,Male,Hume,Tertiary - University or other higher education,Education,84
Total,Male,Hume,Tertiary - University or other higher education,Management and Commerce,374
Total,Male,Hume,Tertiary - University or other higher education,Society and Culture,250
Total,Male,Hume,Tertiary - University or other higher education,Creative Arts,69
Total,Male,Hume,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",60
Total,Male,Hume,Tertiary - University or other higher education,Field of study inadequately described,27
Total,Male,Hume,Tertiary - University or other higher education,Field of study not stated,54
Total,Male,Hume,Tertiary - University or other higher education,Not applicable,2308
Total,Male,Hume,Tertiary - not further defined,Management and Commerce,4
Total,Male,Hume,Tertiary - not further defined,Field of study not stated,4
Total,Male,Hume,Tertiary - not further defined,Not applicable,13
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,21
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,11
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",11
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Health,3
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Education,8
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,8
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,10
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",9
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,6
Total,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,87
Total,Male,Indigo,Tertiary - University or other higher education,Natural and Physical Sciences,5
Total,Male,Indigo,Tertiary - University or other higher education,Engineering and Related Technologies,13
Total,Male,Indigo,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
Total,Male,Indigo,Tertiary - University or other higher education,Health,8
Total,Male,Indigo,Tertiary - University or other higher education,Education,7
Total,Male,Indigo,Tertiary - University or other higher education,Management and Commerce,18
Total,Male,Indigo,Tertiary - University or other higher education,Society and Culture,7
Total,Male,Indigo,Tertiary - University or other higher education,Creative Arts,5
Total,Male,Indigo,Tertiary - University or other higher education,Not applicable,30
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,13
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Information Technology,60
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,207
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,149
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",19
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Health,42
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Education,16
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,155
Total,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,75
