AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
55-59 years,Female,Moonee Valley,Tertiary - University or other higher education,Health,5,315347.638,5818534.75
55-59 years,Female,Moonee Valley,Tertiary - University or other higher education,Education,13,316399.159,5819594.104
55-59 years,Female,Moonee Valley,Tertiary - University or other higher education,Management and Commerce,10,314195.654,5816868.755
55-59 years,Female,Moonee Valley,Tertiary - University or other higher education,Society and Culture,13,314015.436,5822313.871
55-59 years,Female,Moonee Valley,Tertiary - University or other higher education,Not applicable,3,315867.73,5819858.052
55-59 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Health,5,258133.715,5846283.483
55-59 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6,242567.826,5833006.667
55-59 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,280520.847,5817683.486
55-59 years,Female,Moorabool,Tertiary - University or other higher education,Health,7,278094.44,5826121.004
55-59 years,Female,Moorabool,Tertiary - University or other higher education,Education,4,276516.126,5824077.157
55-59 years,Female,Moorabool,Tertiary - University or other higher education,Society and Culture,6,241350.811,5841202.71
55-59 years,Female,Moorabool,Tertiary - University or other higher education,Not applicable,4,239022.947,5852310.045
55-59 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4,320962.283,5824543.604
55-59 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Health,9,320039.401,5824862.563
55-59 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Education,3,317625.355,5824425.08
55-59 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,13,317625.355,5824862.563
55-59 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,18,319020.893,5822475.632
55-59 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,319235.264,5822256.874
55-59 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,7,318726.727,5820246.445
55-59 years,Female,Moreland,Tertiary - University or other higher education,Natural and Physical Sciences,5,319934.587,5821785.811
55-59 years,Female,Moreland,Tertiary - University or other higher education,Information Technology,5,320773.954,5824285.726
55-59 years,Female,Moreland,Tertiary - University or other higher education,Health,16,321081.194,5824465.131
55-59 years,Female,Moreland,Tertiary - University or other higher education,Education,12,315465.331,5819492.264
55-59 years,Female,Moreland,Tertiary - University or other higher education,Management and Commerce,10,316319.31,5824422.408
55-59 years,Female,Moreland,Tertiary - University or other higher education,Society and Culture,21,320648.082,5816908.028
55-59 years,Female,Moreland,Tertiary - University or other higher education,Creative Arts,10,320328.734,5825340.415
55-59 years,Female,Moreland,Tertiary - University or other higher education,Field of study not stated,3,315570.159,5824416.604
55-59 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3,332494.461,5750651.412
55-59 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Health,11,314630.563,5745939.688
55-59 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Education,3,333457.809,5744311.891
55-59 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,13,318955.9,5753413.019
55-59 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,21,331976.78,5766130.522
55-59 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",9,332494.461,5766326.726
55-59 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,13,328536.519,5771345.774
55-59 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Health,10,322557.137,5758169.051
55-59 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Education,11,326331.242,5758169.051
55-59 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Management and Commerce,12,338460.898,5766117.152
55-59 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Society and Culture,20,340172.83,5752086.799
55-59 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Creative Arts,5,312514.95,5748968.213
55-59 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Not applicable,4,310245.317,5753219.065
55-59 years,Female,Mount Alexander,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6,234362.956,5890777.035
55-59 years,Female,Mount Alexander,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,226016.081,5903525.777
55-59 years,Female,Mount Alexander,Tertiary - University or other higher education,Education,4,272611.656,5901051.583
55-59 years,Female,Mount Alexander,Tertiary - University or other higher education,Management and Commerce,3,247793.656,5890008.183
55-59 years,Female,Mount Alexander,Tertiary - University or other higher education,Society and Culture,5,250182.052,5891139.226
55-59 years,Female,Mount Alexander,Tertiary - University or other higher education,Creative Arts,3,259100.688,5908532.448
55-59 years,Female,Moyne,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,124677.681,5802308.957
55-59 years,Female,Moyne,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,73935.022,5795881.035
55-59 years,Female,Moyne,Tertiary - University or other higher education,Health,3,109449.721,5760768.479
55-59 years,Female,Moyne,Tertiary - University or other higher education,Society and Culture,4,118084.57,5795138.009
55-59 years,Female,Moyne,Tertiary - University or other higher education,Not applicable,3,129838.359,5790906.132
55-59 years,Female,Murrindindi,Tertiary - Vocational education (including TAFE and private training providers),Health,6,406454.144,5846594.674
55-59 years,Female,Murrindindi,Tertiary - University or other higher education,Health,4,348607.315,5889818.278
55-59 years,Female,Murrindindi,Tertiary - University or other higher education,Education,3,392772.431,5852285.377
55-59 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Health,4,344536.949,5821786.933
55-59 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Education,3,349223.286,5833926.026
55-59 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,7,348027.182,5826272.395
55-59 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7,344536.949,5835653.964
55-59 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,334706.206,5844662.074
55-59 years,Female,Nillumbik,Tertiary - University or other higher education,Education,3,340451.905,5829063.175
55-59 years,Female,Nillumbik,Tertiary - University or other higher education,Management and Commerce,5,354609.808,5828256.667
55-59 years,Female,Nillumbik,Tertiary - University or other higher education,Society and Culture,3,345155.654,5833898.392
55-59 years,Female,Nillumbik,Tertiary - University or other higher education,Not applicable,3,352958.676,5833281.77
55-59 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Health,3,320659.199,5811187.743
55-59 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Education,8,320419.263,5807222.604
55-59 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,16,319375.376,5810046.996
55-59 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,10,323417.573,5810576.588
